,Symbol,Name,Sector
0,AAPL,Apple,Information Technology
1,ABBV,AbbVie,Health Care
2,ABT,Abbott,Health Care
3,ACN,Accenture,Information Technology
4,ADBE,Adobe,Information Technology
5,AIG,American International Group,Financials
6,AMD,AMD,Information Technology
7,AMGN,Amgen,Health Care
8,AMT,American Tower,Real Estate
9,AMZN,Amazon,Consumer Discretionary
10,AVGO,Broadcom,Information Technology
11,AXP,American Express,Financials
12,BA,Boeing,Industrials
13,BAC,Bank of America,Financials
14,BK,BNY Mellon,Financials
15,BKNG,Booking Holdings,Consumer Discretionary
16,BLK,BlackRock,Financials
17,BMY,Bristol Myers Squibb,Health Care
18,BRK.B,Berkshire Hathaway,Financials
19,C,Citigroup,Financials
20,CAT,Caterpillar,Industrials
21,CHTR,Charter Communications,Communication Services
22,CL,Colgate-Palmolive,Consumer Staples
23,CMCSA,Comcast,Communication Services
24,COF,Capital One,Financials
25,COP,ConocoPhillips,Energy
26,COST,Costco,Consumer Staples
27,CRM,Salesforce,Information Technology
28,CSCO,Cisco,Information Technology
29,CVS,CVS Health,Health Care
30,CVX,Chevron,Energy
31,DHR,Danaher,Health Care
32,DIS,Disney,Communication Services
33,DOW,Dow,Materials
34,DUK,Duke Energy,Utilities
35,EMR,Emerson,Industrials
36,EXC,Exelon,Utilities
37,F,Ford,Consumer Discretionary
38,FDX,FedEx,Industrials
39,GD,General Dynamics,Industrials
40,GE,GE,Industrials
41,GILD,Gilead,Health Care
42,GM,GM,Consumer Discretionary
43,GOOG,Alphabet (Class C),Communication Services
44,GOOGL,Alphabet (Class A),Communication Services
45,GS,Goldman Sachs,Financials
46,HD,Home Depot,Consumer Discretionary
47,HON,Honeywell,Industrials
48,IBM,IBM,Information Technology
49,INTC,Intel,Information Technology
50,JNJ,Johnson & Johnson,Health Care
51,JPM,JPMorgan Chase,Financials
52,KHC,Kraft Heinz,Consumer Staples
53,KO,Coca-Cola,Consumer Staples
54,LIN,Linde,Materials
55,LLY,Lilly,Health Care
56,LMT,Lockheed Martin,Industrials
57,LOW,Lowe's,Consumer Discretionary
58,MA,Mastercard,Information Technology
59,MCD,McDonald's,Consumer Discretionary
60,MDLZ,MondelÄ“z International,Consumer Staples
61,MDT,Medtronic,Health Care
62,MET,MetLife,Financials
63,META,Meta,Communication Services
64,MMM,3M,Industrials
65,MO,Altria,Consumer Staples
66,MRK,Merck,Health Care
67,MS,Morgan Stanley,Financials
68,MSFT,Microsoft,Information Technology
69,NEE,NextEra Energy,Utilities
70,NFLX,Netflix,Communication Services
71,NKE,Nike,Consumer Discretionary
72,NVDA,Nvidia,Information Technology
73,ORCL,Oracle,Information Technology
74,PEP,PepsiCo,Consumer Staples
75,PFE,Pfizer,Health Care
76,PG,Procter & Gamble,Consumer Staples
77,PM,Philip Morris International,Consumer Staples
78,PYPL,PayPal,Information Technology
79,QCOM,Qualcomm,Information Technology
80,RTX,RTX Corporation,Industrials
81,SBUX,Starbucks,Consumer Discretionary
82,SCHW,Charles Schwab,Financials
83,SO,Southern Company,Utilities
84,SPG,Simon,Real Estate
85,T,AT&T,Communication Services
86,TGT,Target,Consumer Discretionary
87,TMO,Thermo Fisher Scientific,Health Care
88,TMUS,T-Mobile,Communication Services
89,TSLA,Tesla,Consumer Discretionary
90,TXN,Texas Instruments,Information Technology
91,UNH,UnitedHealth Group,Health Care
92,UNP,Union Pacific,Industrials
93,UPS,United Parcel Service,Industrials
94,USB,U.S. Bank,Financials
95,V,Visa,Information Technology
96,VZ,Verizon,Communication Services
97,WBA,Walgreens Boots Alliance,Consumer Staples
98,WFC,Wells Fargo,Financials
99,WMT,Walmart,Consumer Staples
100,XOM,ExxonMobil,Energy
